Wave length (X)5C, 5C,10C,15C,20C,25C,30C,35C,40C,45C,50C,60C
250,2.86E-06,7.73E-05,2.82E-05,4.32E-05,3.05E-05,4.55E-06,5.31E-05,3.11E-05,7.22E-05,3.35E-05,-1.09E-05
249,-0.00318,-0.01421,0.00188,-0.03252,-0.04431,-0.01518,0.02577,7.36E-04,-0.0069,-0.02063,-0.03375
248,-0.00642,-0.02713,-5.97E-04,-0.06055,-0.07715,-0.02807,0.02631,-0.01213,-0.02226,-0.03955,-0.0608
247,-0.01238,-0.0411,-0.00869,-0.08659,-0.10386,-0.04242,0.00812,-0.03568,-0.04547,-0.06005,-0.08497
246,-0.0233,-0.05828,-0.02351,-0.11295,-0.12879,-0.06116,-0.02368,-0.06772,-0.076,-0.08468,-0.10943
245,-0.04105,-0.08064,-0.04604,-0.14164,-0.15543,-0.08652,-0.06519,-0.10665,-0.11339,-0.11528,-0.13677
244,-0.06715,-0.10986,-0.07706,-0.17446,-0.18648,-0.12004,-0.1136,-0.15139,-0.15721,-0.15312,-0.16903
243,-0.10278,-0.14742,-0.11721,-0.21293,-0.22389,-0.16269,-0.167,-0.20129,-0.20708,-0.19888,-0.20774
242,-0.14881,-0.19451,-0.16695,-0.2583,-0.26899,-0.2149,-0.22432,-0.25605,-0.26264,-0.25281,-0.25394
241,-0.20584,-0.25207,-0.22661,-0.3116,-0.32256,-0.27667,-0.28514,-0.31566,-0.3236,-0.31472,-0.30827
240,-0.2742,-0.32079,-0.29631,-0.37358,-0.38492,-0.34762,-0.34956,-0.3803,-0.38967,-0.38414,-0.37097
239,-0.35397,-0.40106,-0.37605,-0.44475,-0.45601,-0.42706,-0.4181,-0.45025,-0.46062,-0.46033,-0.44194
238,-0.44504,-0.49299,-0.46563,-0.52537,-0.53546,-0.51406,-0.49152,-0.52583,-0.53624,-0.54237,-0.52075
237,-0.54079,-0.59751,-0.56251,-0.61504,-0.6174,-0.60643,-0.56897,-0.61269,-0.61221,-0.62705,-0.60265
236,-0.65005,-0.71358,-0.66781,-0.71627,-0.70486,-0.7027,-0.66019,-0.70322,-0.69183,-0.71397,-0.69504
235,-0.77727,-0.83716,-0.78511,-0.82531,-0.80591,-0.80531,-0.75928,-0.79237,-0.78062,-0.80573,-0.79608
234,-0.91565,-0.96732,-0.91452,-0.9435,-0.92044,-0.91238,-0.86321,-0.8877,-0.88093,-0.9047,-0.90625
233,-1.05569,-1.11121,-1.04979,-1.06337,-1.03946,-1.01961,-0.97205,-0.98935,-0.98647,-1.00834,-1.01174
232,-1.21052,-1.26345,-1.18859,-1.19064,-1.16461,-1.12662,-1.08337,-1.0938,-1.09486,-1.10855,-1.11244
231,-1.36814,-1.4149,-1.32894,-1.32436,-1.29381,-1.23453,-1.19838,-1.19747,-1.20207,-1.2098,-1.21159
230,-1.52774,-1.56508,-1.47241,-1.46039,-1.41815,-1.34887,-1.31536,-1.30887,-1.31,-1.30664,-1.30729
229,-1.68956,-1.71546,-1.60946,-1.59754,-1.54506,-1.46675,-1.43456,-1.42102,-1.41183,-1.4037,-1.40004
228,-1.84204,-1.86126,-1.74193,-1.7304,-1.67153,-1.58685,-1.5602,-1.52932,-1.52011,-1.50495,-1.49216
227,-1.98806,-1.99955,-1.87202,-1.85844,-1.79917,-1.7065,-1.68005,-1.63786,-1.63,-1.6028,-1.57426
226,-2.1287,-2.13264,-1.99445,-1.98028,-1.92126,-1.82018,-1.78525,-1.73601,-1.73113,-1.69785,-1.65736
225,-2.2631,-2.24789,-2.10392,-2.09103,-2.03112,-1.92178,-1.87758,-1.82815,-1.81763,-1.78738,-1.74238
224,-2.37666,-2.34946,-2.20414,-2.1857,-2.13077,-2.01805,-1.96387,-1.90784,-1.89307,-1.87391,-1.82518
223,-2.46931,-2.43011,-2.2902,-2.26364,-2.21218,-2.10466,-2.03645,-1.98102,-1.95794,-1.95545,-1.89784
222,-2.54508,-2.49465,-2.3553,-2.32427,-2.28228,-2.17481,-2.09894,-2.04972,-2.01212,-2.02246,-1.9637
221,-2.59065,-2.5376,-2.39267,-2.36869,-2.34053,-2.22179,-2.14422,-2.10163,-2.05385,-2.07567,-2.0239
220,-2.60739,-2.56792,-2.41954,-2.39466,-2.38546,-2.24786,-2.17443,-2.13227,-2.08131,-2.11502,-2.06306
219,-2.60343,-2.57596,-2.43802,-2.39905,-2.40262,-2.25448,-2.19052,-2.15191,-2.09783,-2.1439,-2.08786
218,-2.58266,-2.5745,-2.43744,-2.39587,-2.39814,-2.24659,-2.19682,-2.16391,-2.11455,-2.16434,-2.11236
217,-2.55992,-2.56475,-2.43119,-2.3887,-2.3847,-2.23557,-2.19689,-2.16941,-2.12212,-2.17474,-2.12981
216,-2.53461,-2.54623,-2.4254,-2.38582,-2.3647,-2.23201,-2.19475,-2.16657,-2.13128,-2.18526,-2.1405
215,-2.51503,-2.53579,-2.41421,-2.38944,-2.36276,-2.23273,-2.19226,-2.17436,-2.15022,-2.19788,-2.14322
214,-2.50041,-2.54942,-2.4244,-2.39787,-2.3723,-2.24246,-2.20263,-2.20453,-2.17986,-2.20982,-2.15056
213,-2.52388,-2.58464,-2.45463,-2.42371,-2.3951,-2.26975,-2.23622,-2.25614,-2.2223,-2.23735,-2.17576
212,-2.57875,-2.6376,-2.5043,-2.48055,-2.43484,-2.32132,-2.28271,-2.32205,-2.27403,-2.28493,-2.22583
211,-2.65533,-2.70771,-2.55932,-2.55766,-2.48824,-2.40084,-2.34371,-2.38981,-2.34192,-2.34747,-2.28779
210,-2.74436,-2.79369,-2.62937,-2.65004,-2.54989,-2.4923,-2.41944,-2.45502,-2.42562,-2.41527,-2.35773
209,-2.83086,-2.89442,-2.70721,-2.73178,-2.62261,-2.57369,-2.49035,-2.51745,-2.51149,-2.47147,-2.42479
208,-2.91875,-2.98396,-2.77398,-2.80078,-2.71185,-2.63227,-2.5343,-2.56297,-2.57756,-2.5098,-2.48318
207,-2.97674,-3.02586,-2.81756,-2.84519,-2.76095,-2.67306,-2.58241,-2.58419,-2.62714,-2.53719,-2.52992
206,-2.99066,-3.02523,-2.84332,-2.83855,-2.76092,-2.67735,-2.60117,-2.5938,-2.64034,-2.54075,-2.55324
205,-2.9348,-2.95088,-2.82819,-2.78008,-2.73009,-2.62965,-2.56166,-2.57473,-2.60863,-2.49634,-2.54703
204,-2.78462,-2.80857,-2.72986,-2.6557,-2.6346,-2.53128,-2.47682,-2.48652,-2.52726,-2.4182,-2.49779
203,-2.53993,-2.60316,-2.53675,-2.46853,-2.47515,-2.35758,-2.33789,-2.33262,-2.37573,-2.29502,-2.37217
202,-2.20566,-2.29094,-2.2398,-2.21246,-2.21971,-2.09611,-2.13074,-2.12255,-2.13711,-2.09322,-2.18925
201,-1.78073,-1.88894,-1.8765,-1.88352,-1.88923,-1.78264,-1.85823,-1.85742,-1.84739,-1.846,-1.95295
200,-1.28868,-1.41943,-1.44604,-1.50077,-1.49754,-1.42754,-1.53092,-1.54388,-1.51447,-1.55085,-1.66505
199,-0.74543,-0.89771,-0.96121,-1.0752,-1.05701,-1.04407,-1.15729,-1.18972,-1.15117,-1.21483,-1.33208
198,-0.17018,-0.34318,-0.43888,-0.62051,-0.58376,-0.64679,-0.7494,-0.8054,-0.77223,-0.84812,-0.96361
197,0.41499,0.22072,0.10017,-0.15292,-0.0976,-0.2509,-0.32311,-0.40403,-0.39378,-0.46427,-0.57243
196,0.98553,0.76676,0.63125,0.309,0.37808,0.1284,0.10179,-0.00139,-0.03287,-0.08037,-0.17466
195,1.51484,1.26399,1.12586,0.74449,0.81638,0.47652,0.50133,0.38403,0.29303,0.28278,0.21004
194,1.97467,1.67798,1.55177,1.13076,1.18701,0.78016,0.84729,0.73106,0.56652,0.60044,0.55841
193,2.33556,1.97092,1.87306,1.44322,1.45637,1.02789,1.10692,1.01576,0.77074,0.84376,0.84334
192,2.5672,2.10182,2.05022,1.6556,1.58762,1.21082,1.24287,1.21147,0.8899,0.97957,1.0338
191,2.63891,2.02663,2.04019,1.74013,1.54078,1.32324,1.21293,1.28876,0.90973,0.9702,1.09465
190,2.51998,1.69843,1.79647,1.66773,1.27284,1.36325,0.9699,1.21541,0.81802,0.77328,0.98648